name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2018-06-01T00:00:00,25.3,25.3,18.8,67.22,0,0,,0,0,,6.7,254,1007,78.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-06-01T01:00:00,23.8,23.8,18.6,72.59,0,0,,0,0,,8.2,263,1006.9,89,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-06-01T02:00:00,23.1,23.1,18.9,77.21,0,0,,0,0,,5.4,266,1006.6,32.7,15.5,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-06-01T03:00:00,22.4,22.4,19.4,83.09,0,0,,0,0,,6.1,267,1007,44,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-06-01T04:00:00,21.9,21.9,19.3,85.08,0,0,,0,0,,3.5,242,1007.4,29.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-06-01T05:00:00,21.2,21.2,19.3,88.91,0,0,,0,0,,3.5,274,1008,29.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2018-06-01T06:00:00,21.1,21.1,19.4,89.94,0,0,,0,0,,3.5,282,1008.3,29.4,14,20,0.1,0,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T07:00:00,23.3,23.3,19.9,81.33,0,0,,0,0,,2.1,4,1008.9,24.2,16,130,0.5,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T08:00:00,24.5,24.5,18.5,69.12,0,0,,0,0,29.5,16.4,18,1009.7,24.2,16,290,1,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T09:00:00,20.3,20.3,15.2,72.77,0,0,,0,0,,24.7,13,1011,24.2,16,285,1,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T10:00:00,17.9,17.9,12.8,71.84,0,0,,0,0,33.5,25.6,13,1012.2,24.2,16,415,1.5,4,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T11:00:00,18.2,18.2,13,71.37,0,0,,0,0,,24.3,26,1013,40,16,478,1.7,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T12:00:00,17.7,17.7,12.5,71.7,0,0,,0,0,42.5,26.7,39,1013.6,89,16,524,1.9,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T13:00:00,18.1,18.1,12.6,70.15,0,0,,0,0,,27,19,1013.8,81.7,16,605,2.2,6,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T14:00:00,18.6,18.6,12.4,67.32,0,0,,0,0,,19.9,36,1013.4,47.3,16,780,2.8,8,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T15:00:00,18.8,18.8,11.6,62.78,0,0,,0,0,35.3,20,27,1013.5,24.2,16,853,3.1,9,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T16:00:00,17.6,17.6,9.9,60.86,0,0,,0,0,,26,28,1014.1,24.2,16,627,2.3,6,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T17:00:00,17.1,17.1,9.3,60.22,0,0,,0,0,,30,19,1014.5,18,16,476,1.7,5,,Clear,clear-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T18:00:00,16.4,16.4,8.9,60.78,0,0,,0,0,46.3,27.4,25,1014.4,0,16,385,1.4,4,,Clear,clear-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T19:00:00,15.7,15.7,8.7,63.46,0,0,,0,0,37.1,25.9,33,1014.5,0,16,209,0.8,2,,Clear,clear-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T20:00:00,14.8,14.8,8.2,64.9,0,0,,0,0,37.1,25.3,30,1014.5,18,16,48,0.2,0,,Clear,clear-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
chicago,2018-06-01T21:00:00,13.7,13.7,7.8,67.47,0,0,,0,0,38.9,26,16,1015,24.2,16,6,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
